# language: FR
229	Circuit respiratoire bouché, veuillez le vérifier
230	Fuite importante détectée, branchez votre circuit
231	Fuite détectée, vérifiez le montage système et toutes les connexions
232	SpO2 basse détectée
233	Pas de SpO2, vérifiez connexion de votre capteur oxi. au module/doigt
234	Vérifiez connexion oxi. ou app. sur OK pour continuer sans oxymétrie
235	VM basse détectée
236	Masque sans fuite détecté, utilisez masque à fuites ou débloquez orifices ventilation
237	Apnée détectée
238	
239	L
240	Lancer préchauffage
241	Arrêter préchauffage
242	
243	
244	Préchauffage
245	Prêt
246	Refroid. en cours
247	
248	
249	
250	
251	Fuite élev
252	VM basse
253	Pas de SpO2
254	Apnée
255	Sans fuite
256	Pas d'oxy.
257	CPAP
258	AutoSet
259	APAP
260	S
261	ST
262	T
263	VAuto
264	ASV
265	ASVAuto
266	IVAPS
267	PAC
268	AutoSet for Her
269	Obstruct.
270	Restrict.
271	Indéfinie
272	SOH
273	Off
274	10
275	Off
276	On
277	Auto
278	Rampe uniq.
279	Plein temps
280	Standard
281	Soft
282	Narinaire
283	Facial
284	Nasal
285	Pédiatrique
286	SlimLine
287	Standard
288	3 m
289	Faible
290	Moy
291	Hte
292	Maximal
293	On
294	English
295	Français
296	Deutsch
297	Italiano
298	Español
299	Español
300	Português
301	Português
302	Nederlands
303	Svenska
304	Dansk
305	Norsk
306	Suomi
307	ニホンゴ
308	Русский
309	Türkçe
310	繁體中文
311	简体中文
312	Polski
313	日本語
314	Česky
315	Jan
316	Fév
317	Mar
318	Avr
319	Mai
320	Jun
321	Jul
322	Aou
323	Sep
324	Oct
325	Nov
326	Déc
327	3%
328	4%
329	1 jour
330	1 semaine
331	1 mois
332	3 mois
333	6 mois
334	1 an
335	
336	
337	Ti Min
338	Ti Max
339	Temp.
340	Off
341	On
342	Auto
343	Manuel
344	T.faible
345	Faible
346	Moy
347	Hte
348	T.hte
349	Non
350	Oui
351	cm H2O
352	hPa
353	cm
354	pouces
355	°C
356	°F
357	Min
358	
359	
360	Hypopnea
361	Central Apnea
362	Obstructive Apnea
363	Apnea
364	Arousal
365	SpO2 Desaturation
366	No CSR Event
367	CSR Start
368	CSR End
369	No Alarm
370	Motor fault
371	High pressure fault
372	High Temperature fault
373	Sensor fault
374	System error
375	Calibration Reset to default
376	Settings Reset to default
377	Over voltage fault
378	Alarm Unit fault
379	Hum tub/endcap Open activated
380	Hum tub/endcap Open deactivated
381	Tube Blocked activated
382	Tube Blocked deactivated
383	Tube Disconnected activated
384	Tube Disconnected deactivated
385	High Leak activated
386	High Leak deactivated
387	Non Vented Mask activated
388	Non Vented Mask deactivated
389	Low Min Ventilation activated
390	Low Min Ventilation deactivated
391	Apnoea Alarm activated
392	Apnoea Alarm deactivated
393	Low SpO2 activated
394	Low SpO2 deactivated
395	SpO2 Disconnected activated
396	SpO2 Disconnected deactivated
397	Invalid SpO2 Data activated
398	Invalid SpO2 Data deactivated
